id,news_
7, علی باقری: اروپایی‌ها درمورد برخی پیشنهادات ما رضایت نداشتند / قرار است هفته‌ی آینده دور بعدی برگزار شود اما توافق کردیم که روزش را اعلام نکنیم / با درخواست اروپایی ها موافقت کردیم که به پایتخت‌هایشان بروند و پاسخ‌هایشان را آماده کنندعلی باقری: اروپایی‌ها درمورد برخی پیشنهادات ما رضایت نداشتند / قرار است هفته‌ی آینده دور بعدی برگزار شود اما توافق کردیم که روزش را اعلام نکنیم / با درخواست اروپایی ها موافقت کردیم که به پایتخت‌هایشان بروند و پاسخ‌هایشان را آماده کنندعلی باقری معاون سیاسی وزیر امور خارجه و رئیس هیأت مذاکره کننده ایرانی در مذاکرات با گروه ۱+۴ پس از نشست امروز کمیسیون مشترک برجام و پیش از ترک وین در جمع خبرنگاران ضمن تشریح گفت‌وگوها در وین گفت: قرار است هفته ی آینده دور بعدی برگزار شود اما توافق کردیم که روزش را اعلام نکنیم.
12, انریکه مورا: جلسه کمیسیون مشترک برجام برای جمع بندی مذاکرات برگزار می‌شود / باقری: قرار است دیدگاه طرف مقابل را درباره سند‌های پیشنهادی ایران بشنویمانریکه مورا: جلسه کمیسیون مشترک برجام برای جمع بندی مذاکرات برگزار می‌شود / باقری: قرار است دیدگاه طرف مقابل را درباره سند‌های پیشنهادی ایران بشنویممذاکره کننده ارشد ایران پس از دیدار با انریکه مورا معاون دبیرکل سرویس اقدام خارجی اتحادیه اروپا، برگزاری نشست کمیسیون مشترک برجام را تائید و در پاسخ به این سوال که آیا درباره متن پیشنهادی ایران به گروه ۱+۴ هم صحبت شد اظهار داشت: قرار شد دیدگاه طرف مقابل را در نشست کمیسیون مشترک بشنویم.
13, علی باقری: پس از موافقت قدرت‌های جهانی با دو پیشنهاد اولیه ما بلافاصله پیشنهاد سوم را ارائه خواهیم کرد / منتظریم طرف‌های دیگر پاسخ حقوقی و ادله منطقی خود را ارائه کنندعلی باقری: پس از موافقت قدرت‌های جهانی با دو پیشنهاد اولیه ما بلافاصله پیشنهاد سوم را ارائه خواهیم کرد / منتظریم طرف‌های دیگر پاسخ حقوقی و ادله منطقی خود را ارائه کنند«علی باقری کنی» مذاکره‌کننده ارشد ایران در گفت‌و‌گوهای وین، ظهر امروز (جمعه)، در گفت‌و‌گو با شبکه قطری «الجزیره» توضیحاتی درباره دو پیش‌نویس طرف ایرانی ارائه کرد.
18,سوریه و ایران ۴ سند همکاری امضا کردندسوریه و ایران ۴ سند همکاری امضا کردندبه‌گفته علیرضا پیمان‌پاک، مدیرعامل سازمان توسعه تجارت ایران، در طول سفر وی به سوریه ۴ سند همکاری با وزیر اقتصاد و تجارت خارجی سوریه در راستای توسعه تجارت بین دو کشور امضا شده است.
77,مذاکره کننده ارشد کشورمان پس از دیدار با انریکه مورا معاون دبیرکل سرویس اقدام خارجی اتحادیه اروپا، برگزاری نشست کمیسیون مشترک برجام را تائید و بیان کرد: آخرین هماهنگی‌ها در خصوص برگزاری این نشست با آقای مورا انجام شد.
80,به‌گفته علیرضا پیمان‌پاک، مدیرعامل سازمان توسعه تجارت ایران، در طول سفر وی به سوریه ۴ سند همکاری با وزیر اقتصاد و تجارت خارجی سوریه در راستای توسعه تجارت بین دو کشور امضا شده است.
84,معاون وزیر امور خارجه و مذاکره‌کننده ارشد کشورمان در مذاکرات وین تأکید کرد پیشنهادات ارائه‌شده از سوی هیأت ایرانی در مذاکرت وین مبتنی بر مبانی مشترک و دارای مبانی حقوقی و قانونی بود و طرف‌های اروپایی نیز به این واقعیت معترف بودند.
184,"به گزارش شامگاه سه شنبه ایرنا به نقل از اداره کل روابط عمومی و امور بین الملل شهرداری تهران، ظهر امروز نامه علیرضا زاکانی، شهردار پایتخت در خصوص آمادگی تهران برای میزبانی از اجلاس جهانی گردشگری تحویل رییس سازمان جهانی گردشگری سازمان ملل متحد در مادرید شد.این نامه توسط معاون گردشگری وزارت میراث و گردشگری، حسن قشقاوی سفیر ایران در اسپانیا و نمایندگان شهرداری (بین‌الملل اراضی عباس‌آباد) به زوراب پلولیکاشویلی ارایه شد.به گزارش ایرنا، اعضای پیشین شورای اسلامی شهر تهران در تاریخ ۲۲ دی سال ۹۹ پس از بحث و بررسی کلیات لایحه ""الزام شهرداری تهران برای میزبانی دهمین اجلاس سازمان جهانی گردشگری""، این لایحه را به تصویب رساندند."
199,به گزارش ایرنا، علی باقری کنی مذاکره کننده ارشد ایران امروز با انریکه مورا رئیس کمیسیون مشترک برجام دیدار کرد. طرفین در این جلسه، با بررسی نتایج جلسه روز گذشته، در خصوص نحوه ادامه گفت‌وگوها به بحث و رایزنی پرداختند.از سویی معاون دیپلماسی اقتصادی وزیر خارجه ایران با رییس بانک مرکزی اتریش دیدار کرد. در ملاقات دکتر مهدی صفری، معاون دیپلماسی اقتصادی وزیر خارجه کشورمان با آقای هولتزمان رئیس بانک مرکزی اتریش، طرفین ضمن مرور همکاری ها، زمینه های تقویت و گسترش ارتباطات بانکی و مالی را مورد بررسی قرار دادند.پیشتر جلسه کارگروه رفع تحریم نیز در سطح کارشناسان و با حضور نمایندگان ایران، 1+4 و اتحادیه اروپا در هتل کوبورگ برگزار شد.در این نشست، مذاکره‌کنندگان ایرانی ضمن تشریح دیدگاه‌های جمهوری اسلامی ایران و ارائه پیشنهاداتی تازه در خصوص نحوه پیشبرد گفت‌وگوها، بر لزوم رفع مؤثر تحریم‌ها علیه ملت ایران تأکید کرده و دیگر اعضا را به مشارکت سازنده در گفت‌وگوها تشویق کردند. در این جلسه، نمایندگان سایر کشورها نیز  آمادگی و جدیت خود را برای تعامل در موضوع رفع تحریم‌ها، ابراز داشتند.دور جدید مذاکرات ایران و گروه ۱+۴ از روز گذشته با ترکیب جدید تیم مذاکره کننده ایرانی در وین آغاز شده است. علی باقری کنی ریاست هیات مذاکره کننده ایران در این گفت‌وگوها را بر عهده دارد.تمرکز هیات ایرانی در این روزها بر روی رفع تحریم‌های ظالمانه متمرکز است.
210,فرصت 48 ساعته شکایت داوطلبان انتخابات شوراها به دیوان محاسباتروح‌الله نجابت سخنگوی کمیسیون امور داخلی کشور و شوراها در گفت‌وگو با خبرنگار پارلمانی خبرگزاری فارس در تشریح جلسه عصر امروز (سه‌شنبه 9 آذر) این کمیسیون اظهار داشت: بررسی طرح دو فوریتی الحاق یک تبصره به ماده ۶۳ قانون شوراها که از شورای نگهبان اعاده شده به منظور رفع ایرادات مورد بررسی قرار گرفت. شورای نگهبان ایراد مغایرت با اصل ۱۷۳ قانون اساسی را به این طرح وارد دانسته بود.وی افزود: در جلسه امروز این ابهام بررسی شد و در نهایت آنچه به تصویب رسید عبارت است از آرا و تصمیات هیات مرکزی نظارت در خصوص تایید یا رد صلاحیت نامزدها و تایید و یا ابطال انتخابات منحصرا از حیث نقض قوانین و مقررات حداکثر ظرف مدت ۴۸ ساعت پس از اعلام نظر هیات مرکزی به داوطلب قابل شکایت به دیوان عدالت اداری است. دیوان عدالت اداری نیز موظف است موضوع را خارج از نوبت رسیدگی کند و چنانچه رای را واجد ایراد موثر تشخیص دهد شعبه دیوان مکلف است با ذکر همه موارد به صورت مستند و مستدل و با تعیین مصدایق موضوع را جهت تصمیم به هیئت مرکزی نظارت اعاده کند.سخنگوی کمیسیون امور داخلی کشور و شوراها تصریح کرد: دستور کار دوم کمیسیون مربوط به لایحه درآمد پایدار و هزینه شهرداری‌ها و دهیاری‌ها بود که از شورای نگهبان اعاده شده بود. در جلسه قبل تا ماده ۱۱ بررسی شد و در این جلسه تبصره ماده ۱۱، ماده ۱۲ و ماده ۱۵در راستای رفع ایرادات شورای نگهبان بررسی شد. در خصوص رفع ایراد تبصره ماده ۱۱ تصمیم بر این شد که به مرکز پژوهش‌ها جهت بررسی دقیق ارجاع شود تا پس از بررسی دقیق در کمیسیون مطرح و مورد رای گیری قرار گیرد.نجابت گفت: در خصوص رفع ایراد ماده ۱۲، از این جهت که این ماده در ماده ۴۲ قانون مالیات بر ارزش افزوده تعیین تکلیف شده بود حذف گردید. در خصوص رفع ایرادات ماده ۱۵ شورای نگهبان، کمیسیون عبارت «وصول مطالبات به وسیله ماموران اجرایی شهرداری» را حذف کرد. برای رفع ابهام دوم شورای نگهبان به این بخش نیز عبارت «آراء و تصمیات کمیسیون مزبور قابل شکایت در دیوان عدالت اداری است» به تبصره ماده ۱۵ اضافه شد.
