id,news
1,لیست بازیکنان استقلال برای بازی با صنعت نفت اعلام شدبه گزارش خبرنگار مهر، تیم فوتبال استقلال از ساعت ۱۶ فردا دوشنبه در چارچوب مسابقات هفته هفتم لیگ برتر میهمان صنعت نفت آبادان است.آخرین تمرین استقلال پیش از این بازی امروز در تهران برگزار شد.بازیکنان استقلال بعد از گرم کردن و مرور کارهای تیمی به فوتبال درون تیمی مشغول شدند.آرمان رمضانی به دلیل سرماخوردگی در این جلسه تمرینی غایب بود.عارف غلامی و ابوالفضل جلالی مانند روز گذشته در این تمرین به صورت اختصاصی کار کردند.باشگاه استقلال همچنین لیست بازیکنان خود برای این مسابقه را اعلام کرد که نام «رودی ژستد» و « کوین یامگا» دو مهاجم خارجی هم در آن به چشم می خورد.
2, مجلس به دنبال بستنِ راهِ «تنفسِ» جنگل‌های شمال؟ / آیا درخواست جمع آوری «درختان شکسته و افتاده» اسم رمز قطع درختان و نابودی جنگل است؟مجلس به دنبال بستنِ راهِ «تنفسِ» جنگل‌های شمال؟ / آیا درخواست جمع آوری «درختان شکسته و افتاده» اسم رمز قطع درختان و نابودی جنگل است؟تمام ۳۲ نماینده سه استان شمالی، پنجشنبه چهارم آذرماه با رئیس دولت سیزدهم جلسه داشتند تا از او بخواهند فکری به حال خوراک کارخانه‌های شمال کند. کارخانه‌هایی که در نخستین روز کسب مجوز، به شرط تامین چوب از آن سوی مرزها، گواهی فعالیت دریافت کردند.
21,ارتش یمن از سرنگونی پهپاد جاسوسی آمریکایی در مأرب خبر دادارتش یمن از سرنگونی پهپاد جاسوسی آمریکایی در مأرب خبر دادارتش یمن یک فروند پهپاد جاسوسی آمریکایی از نوع Scan Eagle را در حال انجام اقدامات خصمانه در آسمان الجوبه در استان مأرب سرنگون کرد.
32,زمین‌لرزه ۷.۵ ریشتری پرو را لرزاندزمین‌لرزه ۷.۵ ریشتری پرو را لرزاندتهران - ایرنا - به گزارش مرکز لرزه نگاری اروپا- مدیترانه، زمین لرزه ای به بزرگی ۷.۵ درجه در مقیاس امواج درونی زمین(ریشتر) دقایقی پیش شهر باررانکا در شمال پرو را لرزاند.به گزارش ایرنا، این زمین لرزه در شمال شهر بارانکا در ۱۷۵ کیلومتری شمال لیما پایتخت پرو و در عمق ۸۰ کیلومتری از سطح زمین رخ داد.  هنوز خبری درباره خسارات و تلفات احتمالی این زمین لرزه مخابره نشده است.این زمین لرزه در مناطق وسیعی از برزیل، کلمبیا و اکوادور هم احساس شده است.برخی منابع خبری عمق این زمین لرزه را در فاصله ۱۱۲ کیلومتری از سطح زمین اعلام کرده اند. با توجه به زیاد بودن عمق زمین لرزه، این احتمال وجود دارد خسارات زیادی ایجاد نشود.
37,محسن حمزه لو در گفتگو با خبرنگار مهر در خصوص آخرین وضعیت جاده سرچم – میاندوآب اظهار کرد: طرح محور سرچم- میاندوآب به طول ۱۸۱ کیلومتر در پنج قطعه در حال ساخت قرار دارد که قطعات یک و پنج آن به اتمام رسیده و قطعه یک تحویل موقت شده و قطعه پنج نیز که در محدوده آذربایجان‌شرقی واقع شده به طور قطعی مورد استفاده قرار گرفته است.وی با بیان اینکه ۶۵ کیلومتر از این محور در محدوده راه‌های آذربایجان‌غربی قرار دارد، خاطرنشان کرد: قطعه اول این محور تکمیل شده و قطعه دوم ٧۶ درصد پیشرفت اجرایی دارد که روند اجرای آن از سال گذشته تسریع یافته است.حمزه لو اضافه کرد: محور سرچم- میاندوآب از محورهای مهم کریدور شرقی - غربی در شمال‌غرب کشور است که این شهرستان را به سمت میانه و شمال کشور متصل می‌کند.مدیرکل راه و شهرسازی آذربایجان غربی با اشاره به اینکه جاده سرچم – میاندوآب از طرح‌های قدیمی راه و شهرسازی است، گفت: این طرح از سمت استان آذربایجان غربی رو به اتمام بوده و بهره برداری کامل آن منوط به اتمام طرح در بخش آذربایجان شرقی است.حمزه لو در ادامه خاطرنشان کرد: کمربندی میاندوآب به طول ١١ کیلومتر به ارزش یک هزار و ٨٠٠ میلیارد ریال احداث می‌شود و تکمیل آن برای ساماندهی ورودی و خروجی شهر میاندوآب حیاتی است.مدیرکل راه و شهرسازی آذربایجان غربی گفت: اتصال کریدور بزرگراهی غرب به کریدور شرقی - غربی کشور، کاهش ١۵٠ کیلومتری مسافت جنوب استان با مرکز کشور، رونق اقتصادی در بخش‌های کشاورزی و معدن و صرفه‌جویی در مصرف انرژی و تأمین ایمنی شبکه حمل‌ونقل از جمله مزایای تکمیل احداث محور میاندوآب - سرچم است.وی یادآور شد: با بهره‌برداری کامل از این طرح، رفت و آمد مسافران از آزاد راه زنجان تبریز به غرب و شمال غرب کشور و برعکس، بسیار راحت‌تر از گذشته خواهد شد و کاهش زمان سفر جاده‌ای و آسان‌تر شدن رفت و آمد مسافران به مرکز کشور از طریق جاده میاندوآب در آذربایجان‌غربی به سرچم در آذربایجان‌شرقی از اهداف اجرای این طرح است.محور سرچم- میاندوآب از محورهای مهم کریدور شرقی - غربی در شمال‌غرب کشور است که این شهرستان را به سمت میانه و شمال کشور متصل می‌کند.کاهش ۶۵ کیلومتری مسافت از میاندوآب تا مرکز کشور و همچنین کاهش تصادفات جاده‌ای از نتایج مثبت احداث این جاده است و با بهره‌برداری از آن، تحولی در توسعه منطقه و رونق اقتصادی در بخش‌های روستایی و معدنی فراهم می‌شود.کد خبر 5363327
56,فوت ۸۰ بیمار کرونایی در شبانه روز گذشته/ ۵ استان بدون مرگ و میربه گزارش خبرنگار مهر، مرکز روابط عمومی و اطلاع رسانی وزارت بهداشت اعلام کرد: از دیروز تا امروز ۷ آذر ۱۴۰۰ و بر اساس معیارهای قطعی تشخیصی، ۳ هزار و ۷۸۱ بیمار جدید مبتلا به کووید ۱۹ در کشور شناسایی شد که ۶۴۹ نفر از آنها بستری شدند.مجموع بیماران کووید ۱۹ در کشور به ۶ میلیون و ۱۰۸ هزار و ۸۸۲ نفر رسید.در طول ۲۴ ساعت گذشته، ۸۰ بیمار کووید ۱۹ جان خود را از دست دادند و مجموع جان باختگان این بیماری به ۱۲۹ هزار و ۶۲۹ نفر رسید.در شبانه روز گذشته، ۵ استان کشور هیچ موردی از مرگ و میر بیماران کرونایی نداشته‌اند، در ۲۲ استان بین ۱ تا ۵ مورد و در ۴ استان نیز بین ۵ تا ۹ مورد مرگ و میر ثبت شده است.تا کنون ۵ میلیون و ۸۶۳ هزار و ۲۴۸ نفر از بیماران، بهبود یافته و یا از بیمارستان‌ها ترخیص شده‌اند.سه هزار و ۳۴۷ نفر از بیماران مبتلا به کووید ۱۹ در بخش‌های ICU بیمارستان‌ها تحت مراقبت قرار دارند.تا کنون ۳۸ میلیون و ۵۴۷ هزار و ۶۵۸ آزمایش تشخیص کووید ۱۹ در کشور انجام شده است.در حال حاضر هیچ شهری در وضعیت قرمز نیست، اما ۲۲ شهر در وضعیت نارنجی، ۲۰۷ شهر در وضعیت زرد و ۲۱۹ شهر در وضعیت آبی قرار دارند.
60,مهر نوشت: امام جمعه موقت اصفهان گفت: خواسته کشاورزان مشروع و به بحق است و امیدواریم حق کشاورزان هرچه زودتر محقق شود.
65,رییس اداره برق معمولان گفت: ۱۰۰ میلیون تومان برای برق دارشدن روستای صیادمنصور آمیران کوشکی از توابع این بخش هزینه شده است.
70,مدیرعامل سازمان مرکزی تعاون روستایی با بیان اینکه در کشور برخی اقلام تا ۷۰۰ درصد افزایش قیمت داشته است، گفت: تا پایان سال همه ۲۵ قلم کالای اساسی را هوشمند توزیع می‌کنیم.
81,بر اساس اعلام سازمان برنامه و بودجه، با توجه به ضریب انبساط پولی تنها از محل تنخواه ۵۵هزار میلیارد تومانی دولت قبل از بانک مرکزی در ابتدای سال جاری بیش از ۶۳۷هزار میلیارد تومان حجم نقدینگی اضافه شد.
